直播频道,#genre#
大明王朝,http://120.77.28.4:8648/yy.php?id=1382736879
打狗棍,http://120.77.28.4:8648/yy.php?id=39736069
生逢灿烂的日子,http://120.77.28.4:8648/yy.php?id=1382745085
宫锁珠帘,http://120.77.28.4:8648/yy.php?id=1354926666
炊事班的故事II,http://120.77.28.4:8648/yy.php?id=1382851579
名媛望族,http://120.77.28.4:8648/yy.php?id=1354932431
欢天喜地七仙女,http://120.77.28.4:8648/yy.php?id=1382735553
短剧轮播,http://120.77.28.4:8648/yy.php?id=1382881708
打狗棍,http://120.77.28.4:8648/yy.php?id=39736069
勇敢的心,http://120.77.28.4:8648/yy.php?id=1354744544
狂飙,http://120.77.28.4:8648/yy.php?id=1355142167
宰相刘罗锅,http://120.77.28.4:8648/yy.php?id=1382745191
赵本山小品,http://120.77.28.4:8648/yy.php?id=1354936217
神医喜来乐,http://120.77.28.4:8648/yy.php?id=1382714119
火凤凰,http://120.77.28.4:8648/yy.php?id=1463088777
少年包青天,http://120.77.28.4:8648/yy.php?id=38498680
新白娘子传奇,http://120.77.28.4:8648/yy.php?id=1354930969
武林外传,http://120.77.28.4:8648/yy.php?id=1355652820
83版射雕,http://120.77.28.4:8648/yy.php?id=1354210357
老版封神榜,http://120.77.28.4:8648/yy.php?id=1353426319
鹿鼎记,http://120.77.28.4:8648/yy.php?id=28265277
新三国,http://120.77.28.4:8648/yy.php?id=23512910
老三国,http://120.77.28.4:8648/yy.php?id=1354930932
射雕侠侣,http://120.77.28.4:8648/yy.php?id=1382704651
雪中悍刀行,http://120.77.28.4:8648/yy.php?id=1382660835
回家的诱惑,http://120.77.28.4:8648/yy.php?id=1354658048
新白娘子修复,http://120.77.28.4:8648/yy.php?id=1354930969
家族荣耀,http://120.77.28.4:8648/yy.php?id=1382745103
溏心风暴之家好月圆,http://120.77.28.4:8648/yy.php?id=1354888747
仙剑奇侠传,http://120.77.28.4:8648/yy.php?id=1382749903
宫心计,http://120.77.28.4:8648/yy.php?id=1354932429
公主嫁到,http://120.77.28.4:8648/yy.php?id=1382736915
上海滩,http://120.77.28.4:8648/yy.php?id=1382745184
大时代,http://120.77.28.4:8648/yy.php?id=1354930891
法证先锋,http://120.77.28.4:8648/yy.php?id=1354930965
宝莲灯前传,http://120.77.28.4:8648/yy.php?id=1354931631
放羊的星星,http://120.77.28.4:8648/yy.php?id=1355260662
盗墓笔记,http://120.77.28.4:8648/yy.php?id=1356373644
神医喜来乐,http://120.77.28.4:8648/yy.php?id=1382714119
神探狄仁杰,http://120.77.28.4:8648/yy.php?id=1382829413
神探狄仁杰2,http://120.77.28.4:8648/yy.php?id=1382828767
神探狄仁杰,http://120.77.28.4:8648/yy.php?id=1354930934
鹿鼎记陈小春版,http://120.77.28.4:8648/yy.php?id=1382704650
狂飙1,http://120.77.28.4:8648/yy.php?id=1355142167
狂飙2,http://120.77.28.4:8648/yy.php?id=1382754187
封神榜,http://120.77.28.4:8648/yy.php?id=1353426319
天龙八部,http://120.77.28.4:8648/yy.php?id=1351814644
天龙八部2,http://120.77.28.4:8648/yy.php?id=68260522


动画片,#genre#

少儿动画001,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3823b0a397454309b1b9c6118a335f08/1200.m3u8
少儿动画002,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/124ae5351e6145bb9d4a972bcd704a13/1200.m3u8
少儿动画003,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7e6d6cc44a2a44abbd685244aea7460b/1200.m3u8
少儿动画004,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a0efda3572b240c19109dfd3f1f737f2/1200.m3u8
少儿动画005,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/9e9f40d572f34e10b8374edf8bff57e3/1200.m3u8
少儿动画006,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7cd84a1f6a584c5598a0a30c55351acd/1200.m3u8
少儿动画007,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/419f7dddce084932bbe3e6df38b4f990/1200.m3u8
少儿动画008,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/4cf4fd8fb93a44df971f6f22b0442cb1/1200.m3u8
少儿动画009,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/212d6e5c4bf048c98c50fedb5f38cb48/1200.m3u8
少儿动画010,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1a016666a3b24cc3bfb38a26aab2edbe/1200.m3u8
少儿动画011,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c4463d644ab5424d85b52f7279583861/1200.m3u8
少儿动画012,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a833e8d317d4431f8c8faf0d64de10da/1200.m3u8
少儿动画013,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a231f707a36e4024bb1ccf6bc118108d/1200.m3u8
少儿动画014,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d48b15036a4b4a42b430025c696a7fad/1200.m3u8
少儿动画015,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/2ac7fcf2fd3d42b3a26fa2047d39185f/1200.m3u8
少儿动画016,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3c86fd9091a74094b69af0bacb40cd04/1200.m3u8
少儿动画017,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/769a15d6da26470ba1c73e07ad306373/1200.m3u8
少儿动画018,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/763dc6802b664f07b781b03ca1ed8571/1200.m3u8
少儿动画019,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7855d47f343d42a9b3ac5bc24ec2c7e4/1200.m3u8
少儿动画020,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/de65a80f06f54c2897f808c9abf00bd4/1200.m3u8
少儿动画021,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d4d48904958c42d78390afb6b630d042/1200.m3u8
少儿动画022,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/046598839aee4fbd91180177778c4e81/1200.m3u8
少儿动画023,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/dd63ff54aee940ba8fdab87d21e5f60c/1200.m3u8
少儿动画024,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/13ab7aa7d7c448f49f56e6296f7ae719/1200.m3u8
少儿动画025,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/4ed4e4ba3e6346cbba1ceeae0c4278f8/1200.m3u8
少儿动画026,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d2a9049edcfa4154abc1de1fb49fae30/1200.m3u8
少儿动画027,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c9829766056c4389a1838fa44813bb91/1200.m3u8
少儿动画028,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/470c2318e6ad44cba60a37c10421c4d3/1200.m3u8
少儿动画029,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/541797b800604546accd553c29136c84/1200.m3u8
少儿动画030,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/eaccc1f694e3447ea99f2ca3704f8a5d/1200.m3u8
少儿动画031,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a1c81709e2674081b574849d7dc6ea8d/1200.m3u8
少儿动画032,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d07bc18a56104698a1dc899c0474786b/1200.m3u8
少儿动画033,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/062654fb7d10499b81d93c5003937cea/1200.m3u8
少儿动画034,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d5bd0b00cd7c49ee90b80218de5f8923/1200.m3u8
少儿动画035,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/80004432036f4b80a48b01cf71938155/1200.m3u8
少儿动画036,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/913dcbf029914c4785583764c9cd57f3/1200.m3u8
少儿动画037,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/65b3bc9da9464b4997b26a3d3791b378/1200.m3u8
少儿动画038,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/e0cbdc48e09244a7afeb4445ef2b7f56/1200.m3u8
少儿动画039,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/cf73954bb307408a8f7f68f1ecea8232/1200.m3u8
少儿动画040,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a29145e7093440afa76ea83f85e4a383/1200.m3u8
少儿动画041,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/600618e043984d48b6d5a44e8c1b201a/1200.m3u8
少儿动画042,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7c9af2a471e449c48c84decc85aaa9dd/1200.m3u8
少儿动画043,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1fcd870590f94d0d89499f31be82a3cc/1200.m3u8
少儿动画044,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d5dc18fd13d44320b29f275d60f1bee7/1200.m3u8
少儿动画045,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1bc4e0c9f5ea44ca86cd4fde526021f1/1200.m3u8
少儿动画046,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/b02a892510364e10b051aaf3a6444ba7/1200.m3u8
少儿动画047,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/224dba8abd374a47929aec00e6f0eb8a/1200.m3u8
少儿动画048,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/688dc59b964d4daeb1569747bdc1d3ae/1200.m3u8
少儿动画049,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/5f45db998ce24206a9314f135d6cad7f/1200.m3u8
少儿动画050,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7cf4ce2778e34fb49c313cbff1e99a1b/1200.m3u8
少儿动画051,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/b37b06579bbe462999d516b4ffca854e/1200.m3u8
少儿动画052,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1075bd4eac7248a2b5e78613c27ff6f3/1200.m3u8
少儿动画053,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/e4a14c9006a146d0a5594c04cd19b25b/1200.m3u8
少儿动画054,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/9fbd06a9f19542dda886b65a65731fc4/1200.m3u8
少儿动画055,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c35ea628e33c4df9a48aa0cc003afe72/1200.m3u8
少儿动画056,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/8a295020be35467e9496303ed8cbecc6/1200.m3u8
少儿动画057,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3f345af2c1c14129a6ff1cb255e806ae/1200.m3u8
少儿动画058,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/1f15a6144a8b41e0a2a2476912cedcb5/1200.m3u8
少儿动画059,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/59575c7a2bec4a6a94f81c360f518176/1200.m3u8
少儿动画060,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/059997364e294b8e95dfb6634ca94dd5/1200.m3u8
少儿动画061,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/02a7169eb3004e19b9e82c23d14cd5b2/1200.m3u8
少儿动画062,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d41be15b5f414ac79cd8e7637dee69ef/1200.m3u8
少儿动画063,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/fd0f0557d6684a76bce2981cb856d5fe/1200.m3u8
少儿动画064,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/e608b9ad077847ba89dad7e77065cb36/1200.m3u8
少儿动画065,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/b50fbd52005747ecad0929751a889b12/1200.m3u8
少儿动画066,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/597c06ec153d4387a7601a10e42b7826/1200.m3u8
少儿动画067,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/46fd359667344b2093c6b4801626ee98/1200.m3u8
少儿动画068,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/b993adc90a2f44938e798a5ea2e031bc/1200.m3u8
少儿动画069,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/aadbf26193344582bf76b2b5f8b22a22/1200.m3u8
少儿动画070,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/4232f67de07c4a5d81286a31ea47455c/1200.m3u8
少儿动画071,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/bef85f1ef8e94aa8a9daa01cab940450/1200.m3u8
少儿动画072,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a8e7fb17e374468aaddebb92fbef7673/1200.m3u8
少儿动画073,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/88a72b128e5c4b2bba2a6defbdc9efd1/1200.m3u8
少儿动画074,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/d583fa912765405e99e87d37efa7ae4e/1200.m3u8
少儿动画075,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0713f51d96784a5b9fea6779af0741e3/1200.m3u8
少儿动画076,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/5109d005998b46c78016f92f2bde9172/1200.m3u8
少儿动画077,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/2009e97d08eb42ea90a714857e5a48a4/1200.m3u8
少儿动画078,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/40090c57d7ca452aaf1017ff70dac2be/1200.m3u8
少儿动画079,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/92604ba1911e4433987596f3f55b8644/1200.m3u8
少儿动画080,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/6fc961176ebe4a698484639a553aad88/1200.m3u8
少儿动画081,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/41edfdcb6b584ca4a532a0c37577740d/1200.m3u8
少儿动画082,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/24d21d92d1fb4966b07e8da572da8b63/1200.m3u8
少儿动画083,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/88ec2b256b4148e497f8f971cb5ec380/1200.m3u8
少儿动画084,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0a9e441a704e400790c1a3f9abe34cfc/1200.m3u8
少儿动画085,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/c5a9178fc3dc45a0b21fe068c11e4e44/1200.m3u8
少儿动画086,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/4d5daba25f2b4e4ca7d4aff866b4e913/1200.m3u8
少儿动画087,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/e3145610b8d24bc0a9b7362cc05ed199/1200.m3u8
少儿动画088,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/986d1aedf2d14761a5ad588c3dcdf099/1200.m3u8
少儿动画089,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/519455fb59d5472782af0d968028a481/1200.m3u8
少儿动画090,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a78ae97e8c9d4805aed0327180641818/1200.m3u8
少儿动画091,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/33e9e9c87b87475a891f3bae9280ec15/1200.m3u8
少儿动画092,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a0510c0c4e254d269c933f84d3c8c548/1200.m3u8
少儿动画093,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/e3e24853e7434b389bae7b12eaabceab/1200.m3u8
少儿动画094,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/2df005835c9740e4830b723cad3dde79/1200.m3u8
少儿动画095,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/4447a70b142c43bd8559d28674aa5a6a/1200.m3u8
少儿动画096,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/a6fae1a0e0864ac8bc606b2c05814b79/1200.m3u8
少儿动画097,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0a92c4996f6940b782dac7cbbcb33d36/1200.m3u8
少儿动画098,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/3aa5589f462c4e6eb55e9b0b368be6f2/1200.m3u8
少儿动画099,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/7a694da8ab7e425bac21bbf2e5dd42ce/1200.m3u8
少儿动画100,https://newcntv.qcloudcdn.com/asp/hls/1200/0303000a/3/default/0acf9842317c4f638f999d1e4bbf3cf1/1200.m3u8


专题影视,#genre#
电影_英叔,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342421
电影_英叔1,http://zzy789.xyz/douyu1.php?id=7356023
电影_星爷,http://d1.x-y-z.sbs/小凯影视交流/HY.php?id=11342412
电影_星爷,http://mtw.so/6oKdhX
电影_星爷粤语,http://zzy789.xyz/douyu1.php?id=6566671
林正英片,http://zzy789.xyz/douyu1.php?id=218859
神乐剧场,http://zzy789.xyz/douyu1.php?id=85894
神乐剧院,http://zzy789.xyz/douyu1.php?id=122402
欧美大片,http://zzy789.xyz/douyu1.php?id=2793084
贝爷MAX,http://zzy789.xyz/douyu1.php?id=4332
贝爷影厅,http://zzy789.xyz/douyu1.php?id=252802
贝爷影厅2,http://zzy789.xyz/douyu1.php?id=36337
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
邵氏影院,http://huanqiuzhibo.cn/manifest/douyu.php?id=4246519
邵氏影院,https://www.goodiptv.club/douyu/4246519
译制国语,http://zzy789.xyz/douyu1.php?id=2436390
蚂蚱影院,http://zzy789.xyz/douyu1.php?id=6079455
吃滴米虫,http://zzy789.xyz/douyu1.php?id=315457
吃奶滴虫,http://zzy789.xyz/douyu1.php?id=263824
小黛兮影,http://zzy789.xyz/douyu1.php?id=11553944
冰冰经典,http://zzy789.xyz/douyu1.php?id=74374
冰冰经典,http://159.75.85.63:35455/douyu/74374
冰冰经典,http://zzy789.xyz/douyu1.php?id=74374
华仔影院,http://zzy789.xyz/douyu1.php?id=2516864
凌儿影院,http://zzy789.xyz/douyu1.php?id=1377142
可乐影院,http://zzy789.xyz/douyu1.php?id=20415
小宇影院,http://zzy789.xyz/douyu1.php?id=323876
惊悚恐怖,http://zzy789.xyz/douyu1.php?id=96577
鬼片恐怖,http://zzy789.xyz/douyu1.php?id=2935323
电影剧场,http://zzy789.xyz/douyu1.php?id=7575350
豆瓣高分,http://zzy789.xyz/douyu1.php?id=8770422
花卷陪看,http://zzy789.xyz/douyu1.php?id=52787
漫威影片,http://zzy789.xyz/douyu1.php?id=6140589
霍格沃茨,http://zzy789.xyz/douyu1.php?id=8814650
鱼宝恐怖,http://zzy789.xyz/douyu1.php?id=1165374
贝贝影院,http://zzy789.xyz/douyu1.php?id=431460
星爷影院,http://159.75.85.63:35455/douyu/508118
苹果影院,http://zzy789.xyz/douyu1.php?id=2793084
变种人片,http://zzy789.xyz/douyu1.php?id=9651304
喜剧电影,http://zzy789.xyz/douyu1.php?id=9292492
女神电影,http://zzy789.xyz/douyu1.php?id=747764
瑶瑶恐怖,http://159.75.85.63:35455/douyu/2935323
美剧连续剧,http://zzy789.xyz/douyu1.php?id=1979257
二战纪实,http://zzy789.xyz/douyu1.php?id=454867
下饭神剧,http://zzy789.xyz/douyu1.php?id=276200
港剧回顾,http://zzy789.xyz/douyu1.php?id=4549169
恐怖电影,http://zzy789.xyz/douyu1.php?id=310926
燕双鹰,http://zzy789.xyz/douyu1.php?id=3439096
科比乔丹,http://zzy789.xyz/douyu1.php?id=8434598
小潘小金,http://zzy789.xyz/douyu1.php?id=8986636
科幻大片,http://zzy789.xyz/douyu1.php?id=9338839
舔狗生活,http://zzy789.xyz/douyu1.php?id=7620081
喜剧港剧,http://zzy789.xyz/douyu1.php?id=4290711
喜剧港剧1,http://zzy789.xyz/douyu1.php?id=5522351
斗鱼电影10,http://zzy789.xyz/douyu1.php?id=2935323

周星驰电影,http://zby.xjqxz.top/live12/live.m3u8
李连杰电影,http://zby.xjqxz.top/lljdy/live.m3u8
成龙电影台,http://zby.xjqxz.top/cldy/live.m3u8
冰冰经典,http://zzy789.xyz/douyu1.php?id=74374
凌儿影院,http://zzy789.xyz/douyu1.php?id=1377142
小黛兮影,http://zzy789.xyz/douyu1.php?id=11553944
神乐影院,http://zzy789.xyz/douyu1.php?id=122402
神乐剧场,http://zzy789.xyz/douyu1.php?id=85894
可乐影院,http://zzy789.xyz/douyu1.php?id=20415
小宇60帧,http://zzy789.xyz/douyu1.php?id=323876
電影劇場,http://zzy789.xyz/douyu1.php?id=7575350
花卷陪看,http://zzy789.xyz/douyu1.php?id=52787
女神电影,http://zzy789.xyz/douyu1.php?id=747764
变种人片,http://zzy789.xyz/douyu1.php?id=9651304
贝爷影厅,http://zzy789.xyz/douyu1.php?id=252802
贝爷影厅1,http://zzy789.xyz/douyu1.php?id=4332
贝爷影厅2,http://zzy789.xyz/douyu1.php?id=36337
粤语电影,http://zzy789.xyz/douyu1.php?id=6566671
林正英,http://zzy789.xyz/douyu1.php?id=7356023
吃米滴虫,http://zzy789.xyz/douyu1.php?id=315457
吃奶滴虫,http://zzy789.xyz/douyu1.php?id=263824
华语经典,http://zzy789.xyz/douyu1.php?id=434971
邵氏影院,http://zzy789.xyz/douyu1.php?id=4246519
怡寳影院,http://zzy789.xyz/douyu1.php?id=434971
港台电影,http://zzy789.xyz/douyu1.php?id=3637778
漫威影片,http://zzy789.xyz/douyu1.php?id=6140589
豆瓣高分,http://zzy789.xyz/douyu1.php?id=8770422
宇哥电影,http://zzy789.xyz/douyu1.php?id=413573
网神影厅,http://zzy789.xyz/douyu1.php?id=508118
霍格影片,http://zzy789.xyz/douyu1.php?id=8814650
喜剧电影,http://zzy789.xyz/douyu1.php?id=9292492
下饭神剧,http://zzy789.xyz/douyu1.php?id=276200
邦德影院,http://zzy789.xyz/douyu1.php?id=9292499
刘德华,http://zzy789.xyz/douyu1.php?id=2516864
小猪优版剧院,http://zzy789.xyz/douyu1.php?id=10297898
欢乐剧场,http://zzy789.xyz/douyu1.php?id=7489563
僵尸,http://zzy789.xyz/douyu1.php?id=2935323
